powiat,rok,wartość
powiat Rybnik,2018,930844849.8
powiat Rybnik,2019,955816549.37
powiat Żory,2011,220141876.21
powiat Żory,2012,248590972.45
powiat Żory,2013,219371470.79
powiat Żory,2014,230117084.95
powiat Żory,2015,249528896.92
powiat Żory,2016,283275604.77
powiat Żory,2017,299300751.61
powiat Żory,2018,334748367.64
powiat Żory,2019,378904454.64
powiat będziński,2011,419589170.01
powiat będziński,2012,425048602.71
powiat będziński,2013,460897478.87
powiat będziński,2014,489019808.04
powiat będziński,2015,524457866.19
powiat będziński,2016,569686645.44
powiat będziński,2017,610169823.53
powiat będziński,2018,666791647.43
powiat będziński,2019,750938964.77
powiat zawierciański,2011,305172142.62
powiat zawierciański,2012,328678884.9
powiat zawierciański,2013,340465493.2
powiat zawierciański,2014,367199300.69
powiat zawierciański,2015,366110576.2
powiat zawierciański,2016,421557283.09
powiat zawierciański,2017,443166722.02
powiat zawierciański,2018,485220461.17
powiat zawierciański,2019,550190451.83
powiat Dąbrowa Górnicza,2011,559919869.72
powiat Dąbrowa Górnicza,2012,588078652.92
powiat Dąbrowa Górnicza,2013,717624683.32
powiat Dąbrowa Górnicza,2014,833145654.36
powiat Dąbrowa Górnicza,2015,646673020.81
powiat Dąbrowa Górnicza,2016,697922739.44
powiat Dąbrowa Górnicza,2017,697521837.55
powiat Dąbrowa Górnicza,2018,787780599.65
powiat Dąbrowa Górnicza,2019,852260929.7
powiat Jaworzno,2011,406702650.86
powiat Jaworzno,2012,369441885.95
powiat Jaworzno,2013,391228959.59
powiat Jaworzno,2014,404763119.12
powiat Jaworzno,2015,414108224.22
powiat Jaworzno,2016,459546750.8
powiat Jaworzno,2017,489889322.34
powiat Jaworzno,2018,515157169.2
powiat Jaworzno,2019,580221104.9
powiat Sosnowiec,2011,638573274.13
powiat Sosnowiec,2012,692119641.62
powiat Sosnowiec,2013,718626580.12
powiat Sosnowiec,2014,774704599.84
powiat Sosnowiec,2015,822774125.35
powiat Sosnowiec,2016,854865532.71
powiat Sosnowiec,2017,930879476.14
powiat Sosnowiec,2018,996349267.23
powiat Sosnowiec,2019,1063965403.81
powiat mikołowski,2011,296116044.61
powiat mikołowski,2012,313905885.1
powiat mikołowski,2013,322254673.4
powiat mikołowski,2014,344668572.22
powiat mikołowski,2015,368057537.62
powiat mikołowski,2016,422582300.33
powiat mikołowski,2017,451043452.89
powiat mikołowski,2018,503524745.72
powiat mikołowski,2019,554558629.22
powiat pszczyński,2011,352565356.82
powiat pszczyński,2012,333142533.87
powiat pszczyński,2013,351096519.05
powiat pszczyński,2014,360348035.94
powiat pszczyński,2015,350174993.19
powiat pszczyński,2016,455614440.83
powiat pszczyński,2017,518695609.52
powiat pszczyński,2018,530400947.14
powiat pszczyński,2019,608094137.91
powiat bieruńsko-lędziński,2011,201348208.36
powiat bieruńsko-lędziński,2012,196301244.97
powiat bieruńsko-lędziński,2013,203782253.69
powiat bieruńsko-lędziński,2014,209535719.63
powiat bieruńsko-lędziński,2015,220734603.55
powiat bieruńsko-lędziński,2016,268197356.55
powiat bieruńsko-lędziński,2017,266600136.92
powiat bieruńsko-lędziński,2018,297198722.21
powiat bieruńsko-lędziński,2019,332887749.74
powiat Tychy,2011,580938943.68
powiat Tychy,2012,593527952.2
powiat Tychy,2013,610227721.31
powiat Tychy,2014,657455452.17
powiat Tychy,2015,627513588.62
powiat Tychy,2016,696441641.97
powiat Tychy,2017,732518884.92
powiat Tychy,2018,825555390.66
powiat Tychy,2019,909431550.6
powiat gorzowski,2011,219036072.32
powiat gorzowski,2012,214821630.68
powiat gorzowski,2013,217936013.7
powiat gorzowski,2014,233543478.13
powiat gorzowski,2015,253947871.3
powiat gorzowski,2016,291485114.01
powiat gorzowski,2017,326133673.59
powiat gorzowski,2018,350787359.84
powiat gorzowski,2019,386302228.95
powiat międzyrzecki,2011,173438775.41
powiat międzyrzecki,2012,175949034.56
powiat międzyrzecki,2013,187226809.86
powiat międzyrzecki,2014,203526485.8
powiat międzyrzecki,2015,213862683.11
powiat międzyrzecki,2016,235767947.54
powiat międzyrzecki,2017,257474234.71
powiat międzyrzecki,2018,273201476.05
powiat międzyrzecki,2019,308717494.36
powiat słubicki,2011,144976438.93
powiat słubicki,2012,145557266.35
powiat słubicki,2013,154669966.5
powiat słubicki,2014,163908967.1
powiat słubicki,2015,172998271.24
powiat słubicki,2016,195992122.05
powiat słubicki,2017,220697919.49
powiat słubicki,2018,228684789.91
powiat słubicki,2019,255710444.18
powiat strzelecko-drezdenecki,2011,144406067.29
powiat strzelecko-drezdenecki,2012,152275053.13
powiat strzelecko-drezdenecki,2013,162996372.71
powiat strzelecko-drezdenecki,2014,170517071.42
powiat strzelecko-drezdenecki,2015,169966123.09
powiat strzelecko-drezdenecki,2016,204529200.5
powiat strzelecko-drezdenecki,2017,223370758.87
powiat strzelecko-drezdenecki,2018,230880368.7
powiat strzelecko-drezdenecki,2019,261660712.07
powiat sulęciński,2011,101133088.45
powiat sulęciński,2012,110376643.39
powiat sulęciński,2013,117512373.54
powiat sulęciński,2014,119031338.33
powiat sulęciński,2015,127305730.83
powiat sulęciński,2016,141968193.72
powiat sulęciński,2017,154851934.15
powiat sulęciński,2018,168665856.62
powiat sulęciński,2019,196076455.15
powiat Gorzów Wielkopolski,2011,428971371.75
powiat Gorzów Wielkopolski,2012,438397905.1
powiat Gorzów Wielkopolski,2013,477675144.54
powiat Gorzów Wielkopolski,2014,500230290.38
powiat Gorzów Wielkopolski,2015,525305333.99
powiat Gorzów Wielkopolski,2016,630781872.14
powiat Gorzów Wielkopolski,2017,649766891.91
powiat Gorzów Wielkopolski,2018,756278502.58
powiat Gorzów Wielkopolski,2019,812319490.78
"powiat krośnieński, lubuskie",2011,159295733.67
"powiat krośnieński, lubuskie",2012,172236937.43
"powiat krośnieński, lubuskie",2013,176184345.95
"powiat krośnieński, lubuskie",2014,182482270.98
"powiat krośnieński, lubuskie",2015,181726544.55
"powiat krośnieński, lubuskie",2016,206547953.52
"powiat krośnieński, lubuskie",2017,222668663.38
"powiat krośnieński, lubuskie",2018,242878845.25
"powiat krośnieński, lubuskie",2019,271723474.98
powiat nowosolski,2011,243910654.65
powiat nowosolski,2012,258852437.89
powiat nowosolski,2013,257767075.05
powiat nowosolski,2014,274949926.68
powiat nowosolski,2015,290401353.09
powiat nowosolski,2016,321307619.75
powiat nowosolski,2017,367875074.69
powiat nowosolski,2018,393000315.7
powiat nowosolski,2019,446665616.21
powiat świebodziński,2011,176398470.94
powiat świebodziński,2012,167444153.23
powiat świebodziński,2013,181157111.81
powiat świebodziński,2014,189497854.08
powiat świebodziński,2015,195943805.13
powiat świebodziński,2016,217888595.52
powiat świebodziński,2017,243140625.0
powiat świebodziński,2018,258736155.82
powiat świebodziński,2019,283423404.27
powiat zielonogórski,2011,262142045.19
powiat zielonogórski,2012,272545559.16
powiat zielonogórski,2013,294797742.15
powiat zielonogórski,2014,307585099.12
powiat zielonogórski,2015,258072846.22
powiat zielonogórski,2016,286633604.89
powiat zielonogórski,2017,329010263.27
powiat zielonogórski,2018,354169014.75
powiat zielonogórski,2019,391125029.14
powiat żagański,2011,227399787.51
powiat żagański,2012,242168994.81
powiat żagański,2013,264190650.09
powiat żagański,2014,285009443.11
powiat żagański,2015,275067505.6
powiat żagański,2016,300422532.76
powiat żagański,2017,326281804.41
powiat żagański,2018,356595632.71
powiat żagański,2019,388602157.01
powiat żarski,2011,276733798.98
powiat żarski,2012,290481368.56
powiat żarski,2013,327187411.64
powiat żarski,2014,334379409.36
powiat żarski,2015,342106021.01
powiat żarski,2016,379204491.26
powiat żarski,2017,411464867.22
powiat żarski,2018,428479050.56
powiat żarski,2019,482158465.57
powiat wschowski,2011,111681823.83
powiat wschowski,2012,110046958.81
powiat wschowski,2013,114532020.15
powiat wschowski,2014,119402102.5
powiat wschowski,2015,122803045.15
powiat wschowski,2016,146625594.91
powiat wschowski,2017,161139767.03
powiat wschowski,2018,172925360.37
powiat wschowski,2019,181503663.27
powiat Zielona Góra,2011,471830707.6
powiat Zielona Góra,2012,493546284.57
powiat Zielona Góra,2013,506395828.21
powiat Zielona Góra,2014,542607294.48
powiat Zielona Góra,2015,626409483.31
powiat Zielona Góra,2016,720484526.42
powiat Zielona Góra,2017,859487108.02
powiat Zielona Góra,2018,923401546.59
powiat Zielona Góra,2019,1076846771.42
powiat jarociński,2011,184229445.83
powiat jarociński,2012,198254608.72
powiat jarociński,2013,198409669.18
powiat jarociński,2014,208490598.69
powiat jarociński,2015,219961600.79
powiat jarociński,2016,274643138.67
powiat jarociński,2017,298673307.45
powiat jarociński,2018,312853315.43
powiat jarociński,2019,360605241.33
powiat kaliski,2011,219047975.38
powiat kaliski,2012,231026339.11
powiat kaliski,2013,236143169.28
powiat kaliski,2014,240407321.88
powiat kaliski,2015,252837882.77
powiat kaliski,2016,311949756.29
powiat kaliski,2017,349653025.02
powiat kaliski,2018,382398234.38
powiat kaliski,2019,434641376.52
powiat kępiński,2011,160589924.3
powiat kępiński,2012,170533254.55
powiat kępiński,2013,179337905.19
powiat kępiński,2014,183428830.39
powiat kępiński,2015,194809868.6
powiat kępiński,2016,241085866.67
powiat kępiński,2017,268184177.24
powiat kępiński,2018,288032379.17
powiat kępiński,2019,334019756.83
powiat krotoszyński,2011,201312788.18
powiat krotoszyński,2012,222603110.44
powiat krotoszyński,2013,220921248.7
powiat krotoszyński,2014,223995094.49
powiat krotoszyński,2015,240085229.89
powiat krotoszyński,2016,286808818.12
powiat krotoszyński,2017,309787499.55
powiat krotoszyński,2018,327685398.02
powiat krotoszyński,2019,370255347.56
"powiat ostrowski, wielkopolskie",2011,400227122.54
"powiat ostrowski, wielkopolskie",2012,440230447.79
"powiat ostrowski, wielkopolskie",2013,461138236.12
"powiat ostrowski, wielkopolskie",2014,487823937.61
"powiat ostrowski, wielkopolskie",2015,499297454.07
"powiat ostrowski, wielkopolskie",2016,602271480.03
"powiat ostrowski, wielkopolskie",2017,656575881.92
"powiat ostrowski, wielkopolskie",2018,702829542.89
"powiat ostrowski, wielkopolskie",2019,816279286.29
powiat ostrzeszowski,2011,150213085.71
powiat ostrzeszowski,2012,158045593.87
powiat ostrzeszowski,2013,163904984.76
powiat ostrzeszowski,2014,170745644.1
powiat ostrzeszowski,2015,174296673.8
powiat ostrzeszowski,2016,211843476.69
powiat ostrzeszowski,2017,232315537.47
powiat ostrzeszowski,2018,250112511.91
powiat ostrzeszowski,2019,294032963.06
powiat pleszewski,2011,164124981.13
powiat pleszewski,2012,184059904.97
powiat pleszewski,2013,187034040.92
powiat pleszewski,2014,186231779.81
powiat pleszewski,2015,193641712.44
powiat pleszewski,2016,244149239.03
powiat pleszewski,2017,272243219.02
powiat pleszewski,2018,288382067.07
powiat pleszewski,2019,330300547.63
powiat Kalisz,2011,407855660.6
powiat Kalisz,2012,423091974.02
powiat Kalisz,2013,462352641.65
powiat Kalisz,2014,455364964.55
powiat Kalisz,2015,469041496.13
powiat Kalisz,2016,535423516.22
powiat Kalisz,2017,570785729.06
powiat Kalisz,2018,611344009.75
powiat Kalisz,2019,660892708.26
powiat gnieźnieński,2011,355550508.73
powiat gnieźnieński,2012,407566093.67
powiat gnieźnieński,2013,405565924.16
powiat gnieźnieński,2014,439590620.01
powiat gnieźnieński,2015,459890803.53
powiat gnieźnieński,2016,564641260.58
powiat gnieźnieński,2017,630880360.08
powiat gnieźnieński,2018,672282764.63
powiat gnieźnieński,2019,740903269.9
powiat kolski,2011,246914676.37
powiat kolski,2012,243555441.68
powiat kolski,2013,258075253.55
powiat kolski,2014,264850726.49
powiat kolski,2015,276905197.78
