rok,rodzaj,przedsiębiorstwa objęte badaniem,przychody z całokształtu działalności (przychody ogółem),zysk brutto,zysk netto,kredyty bankowe i pożyczki,wynik finansowy brutto,wskaźnik płynności finansowej I stopnia,przychody netto ze sprzedaży towarów i materiałów,aktywa obrotowe,zobowiązania długoterminowe,wskaźnik rentowności obrotu netto,"przychody netto ze sprzedaży produktów, towarów i materiałów",wartość sprzedanych towarów i materiałów,należności krótkoterminowe z tytułu dostaw i usług,zapasy - towary,wskaźnik poziomu kosztów,obowiązkowe obciążenia wyniku finansowego brutto - podatek dochodowy,pozostałe koszty operacyjne,koszt sprzedanych produktów,obowiązkowe obciążenia wyniku finansowego brutto,udział przychodów przedsiębiorstw wykazujących zysk netto w przychodach z całokształtu działalności,zapasy - półprodukty i produkty w toku,wynik finansowy na działalności gospodarczej,przychody netto ze sprzedaży produktów,wskaźnik rentowności sprzedaży brutto,inwestycje krótkoterminowe,zobowiązania krótkoterminowe,zapasy - produkty gotowe,pozostałe przychody operacyjne,strata brutto,koszty uzyskania przychodów z całokształtu działalności (koszty ogółem),wskaźnik płynności finansowej II stopnia,wynik finansowy netto,wskaźnik rentowności obrotu brutto,udział liczby przedsiębiorstw wykazujących zysk netto w ogólnej liczbie przedsiębiorstw,należności krótkoterminowe,"wynik finansowy ze sprzedaży produktów, towarów i materiałów",pozostałe przychody operacyjne - dotacje,koszty finansowe,wynik zdarzeń nadzwyczajnych,zapasy - materiały,"zobowiązania krótkoterminowe z tytułu podatków, ceł, ubezpieczeń i innych świadczeń",przychody finansowe,zapasy,zobowiązania krótkoterminowe z tytułu dostaw i usług,strata netto,krótkoterminowe rozliczenia międzyokresowe
2018,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,319,14947803000,1280792000,1141049000,581932000,1092419000,0.823,1429275000,3509916000,5689713000,0.064,14410617000,841049000,784944000,69426000,0.927,139972000,225846000,12467871000,139972000,0.868,10696000,,12981342000,0.076,1963197000,2385321000,8805000,421465000,188373000,13855384000,1.3419999999999999,952447000,0.073,0.799,1237434000,1101697000,20469000,320618000,,110574000,274724000,115721000,214073000,990483000,188602000,95212000
2019,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,327,16676359000,1699448000,1491898000,655489000,1538490000,1.208,1603900000,5298168000,6342936000,0.08,16080556000,1014354000,785361000,82893000,0.908,208296000,189288000,13643227000,208296000,0.881,18886000,,14476656000,0.08800000000000001,3637223000,3009897000,6939000,322365000,160958000,15137869000,1.651,1330194000,0.092,0.8320000000000001,1331613000,1422975000,21810000,291000000,,118226000,396429000,273438000,236493000,1052127000,161704000,92839000
2020,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,329,11952958000,592237000,517994000,884396000,-918283000,0.866,1046328000,4146732000,6486307000,-0.077,11333333000,700564000,582497000,104155000,1.077,462000,283430000,11378014000,462000,0.564,20733000,,10287005000,-0.066,2783032000,3214973000,7199000,513273000,1510520000,12871241000,1.1820000000000002,-918745000,-0.077,0.459,1018133000,-745245000,138878000,509233000,,109919000,280938000,106352000,250144000,1011710000,1436739000,95423000
2011,Informacja i komunikacja,419,86905821000,11020785000,9952967000,3320818000,9171838000,0.64,4904260000,30219628000,33345975000,0.094,77574320000,7741687000,11301571000,1045704000,0.8940000000000001,990554000,2701103000,61867413000,990554000,0.8540000000000001,550369000,9171764000.0,72670060000,0.10300000000000001,12997127000,20296444000,607398000,3762348000,1848947000,77734057000,1.286,8181284000,0.106,0.78,13108423000,7965220000,148979000,5423854000,74000.0,327903000,1445946000,5569153000,2635388000,10165413000,1771683000,1478690000
2012,Informacja i komunikacja,456,90107191000,9555173000,8891320000,5053346000,7818824000,0.562,5407171000,29843836000,28695472000,0.08,80358019000,7839811000,12399028000,1004696000,0.913,565755000,4628236000,65470359000,565755000,0.8470000000000001,389105000,7820091000.0,74950848000,0.08800000000000001,11503235000,20471285000,591687000,5027200000,1736349000,82287100000,1.2670000000000001,7253069000,0.087,0.779,14441339000,7047849000,158779000,4348694000,-1267000.0,357867000,1464718000,4721972000,2439224000,9670463000,1638251000,1460038000
2013,Informacja i komunikacja,466,86223524000,8410869000,7768596000,3926720000,6527824000,0.414,6835123000,28709855000,36085272000,0.073,79098522000,9054128000,12285227000,888156000,0.924,209892000,2138681000,63058344000,209892000,0.768,420410000,6527903000.0,72263399000,0.08800000000000001,9995567000,24129619000,665833000,3601013000,1883045000,79695621000,1.022,6317932000,0.076,0.805,14661809000,6986050000,173838000,5444468000,-79000.0,303964000,1977192000,3523989000,2407993000,8650836000,1450664000,1644486000
2014,Informacja i komunikacja,481,83668997000,7299839000,6364413000,4623990000,5563918000,0.628,6479690000,30077027000,42895620000,0.057999999999999996,78686273000,8004195000,12643719000,893033000,0.934,751556000,2073101000,62759634000,751556000,0.8170000000000001,349963000,5558790000.0,72206583000,0.10099999999999999,11521017000,18350454000,561796000,2468721000,1735921000,78110207000,1.4480000000000002,4812362000,0.066,0.79,15050311000,7922444000,169522000,5273277000,5128000.0,282770000,1512691000,2514003000,2306344000,8540650000,1552051000,1199355000
2015,Informacja i komunikacja,492,89885709000,8203946000,7109091000,5298942000,6621478000,0.517,7747862000,34143204000,38140817000,0.064,85669221000,9033720000,14800616000,908867000,0.9259999999999999,913417000,1762626000,67492495000,913417000,0.8009999999999999,358524000,6621254000.0,77921359000,0.107,13523037000,26151372000,484546000,2178103000,1582468000,83264455000,1.16,5708061000,0.07400000000000001,0.835,16807328000,9143006000,148265000,4975614000,224000.0,292094000,1873979000,2038385000,2456562000,10242567000,1401030000,1356277000
2016,Informacja i komunikacja,517,94604462000,8803365000,7687394000,3764275000,5783645000,0.563,8852127000,32793657000,48739784000,0.049,89784543000,9460351000,15815356000,826271000,0.9390000000000001,1116001000,3668772000,71575921000,1116001000,0.758,441845000,,80932416000,0.09699999999999999,10802367000,19171639000,459229000,2343998000,3019720000,88820817000,1.526,4667644000,0.061,0.783,18451549000,8748271000,108402000,4115773000,,259874000,1720561000,2475921000,2189426000,9866583000,3019750000,1350315000
2017,Informacja i komunikacja,556,100823471000,9274018000,8134272000,5701738000,7826346000,0.44,9282550000,35420090000,46135936000,0.067,95743386000,8980787000,18007591000,958746000,0.922,1071161000,1729206000,78240958000,1071161000,0.784,591609000,,86460836000,0.08900000000000001,11088486000,25185451000,657216000,1834358000,1447672000,92997125000,1.248,6755185000,0.078,0.79,20341317000,8521641000,122531000,4046174000,,269533000,1763736000,3245727000,2498191000,12178686000,1379087000,1492096000
