powiat,rok,wartość
powiat Ruda Śląska,2011,0.0
powiat Ruda Śląska,2012,0.0
powiat Ruda Śląska,2013,0.0
powiat Ruda Śląska,2014,0.0
powiat Ruda Śląska,2015,0.0
powiat Ruda Śląska,2016,0.0
powiat Ruda Śląska,2017,0.0
powiat Ruda Śląska,2018,0.0
powiat Ruda Śląska,2019,0.0
powiat Siemianowice Śląskie,2011,0.0
powiat Siemianowice Śląskie,2012,0.0
powiat Siemianowice Śląskie,2013,0.0
powiat Siemianowice Śląskie,2014,0.0
powiat Siemianowice Śląskie,2015,0.0
powiat Siemianowice Śląskie,2016,0.0
powiat Siemianowice Śląskie,2017,0.0
powiat Siemianowice Śląskie,2018,0.0
powiat Siemianowice Śląskie,2019,0.0
powiat Świętochłowice,2011,0.0
powiat Świętochłowice,2012,0.0
powiat Świętochłowice,2013,0.0
powiat Świętochłowice,2014,0.0
powiat Świętochłowice,2015,0.0
powiat Świętochłowice,2016,0.0
powiat Świętochłowice,2017,0.0
powiat Świętochłowice,2018,0.0
powiat Świętochłowice,2019,0.0
powiat raciborski,2011,1052.11
powiat raciborski,2012,945.24
powiat raciborski,2013,992.57
powiat raciborski,2014,1020.99
powiat raciborski,2015,992.77
powiat raciborski,2016,962.51
powiat raciborski,2017,1011.45
powiat raciborski,2018,1061.75
powiat raciborski,2019,1307.09
powiat rybnicki,2011,493.74
powiat rybnicki,2012,522.48
powiat rybnicki,2013,518.95
powiat rybnicki,2014,557.61
powiat rybnicki,2015,613.92
powiat rybnicki,2016,606.49
powiat rybnicki,2017,607.58
powiat rybnicki,2018,641.98
powiat rybnicki,2019,816.26
powiat wodzisławski,2011,788.75
powiat wodzisławski,2012,804.91
powiat wodzisławski,2013,830.54
powiat wodzisławski,2014,863.34
powiat wodzisławski,2015,888.85
powiat wodzisławski,2016,898.07
powiat wodzisławski,2017,935.77
powiat wodzisławski,2018,1047.31
powiat wodzisławski,2019,1101.01
powiat Jastrzębie-Zdrój,2011,0.0
powiat Jastrzębie-Zdrój,2012,0.0
powiat Jastrzębie-Zdrój,2013,0.0
powiat Jastrzębie-Zdrój,2014,0.0
powiat Jastrzębie-Zdrój,2015,0.0
powiat Jastrzębie-Zdrój,2016,0.0
powiat Jastrzębie-Zdrój,2017,0.0
powiat Jastrzębie-Zdrój,2018,0.0
