rok,rodzaj,przedsiębiorstwa objęte badaniem,przychody z całokształtu działalności (przychody ogółem),zysk brutto,zysk netto,kredyty bankowe i pożyczki,wynik finansowy brutto,wskaźnik płynności finansowej I stopnia,przychody netto ze sprzedaży towarów i materiałów,aktywa obrotowe,zobowiązania długoterminowe,wskaźnik rentowności obrotu netto,"przychody netto ze sprzedaży produktów, towarów i materiałów",wartość sprzedanych towarów i materiałów,należności krótkoterminowe z tytułu dostaw i usług,zapasy - towary,wskaźnik poziomu kosztów,obowiązkowe obciążenia wyniku finansowego brutto - podatek dochodowy,pozostałe koszty operacyjne,koszt sprzedanych produktów,obowiązkowe obciążenia wyniku finansowego brutto,udział przychodów przedsiębiorstw wykazujących zysk netto w przychodach z całokształtu działalności,zapasy - półprodukty i produkty w toku,wynik finansowy na działalności gospodarczej,przychody netto ze sprzedaży produktów,wskaźnik rentowności sprzedaży brutto,inwestycje krótkoterminowe,zobowiązania krótkoterminowe,zapasy - produkty gotowe,pozostałe przychody operacyjne,strata brutto,koszty uzyskania przychodów z całokształtu działalności (koszty ogółem),wskaźnik płynności finansowej II stopnia,wynik finansowy netto,wskaźnik rentowności obrotu brutto,udział liczby przedsiębiorstw wykazujących zysk netto w ogólnej liczbie przedsiębiorstw,należności krótkoterminowe,"wynik finansowy ze sprzedaży produktów, towarów i materiałów",pozostałe przychody operacyjne - dotacje,koszty finansowe,wynik zdarzeń nadzwyczajnych,zapasy - materiały,"zobowiązania krótkoterminowe z tytułu podatków, ceł, ubezpieczeń i innych świadczeń",przychody finansowe,zapasy,zobowiązania krótkoterminowe z tytułu dostaw i usług,strata netto,krótkoterminowe rozliczenia międzyokresowe
2012,"Działalność związana z kulturą, rozrywką i rekreacją",52,11534945,570983,467751,183401,473140,139.4,470003,1373275,739335,3.2,11073394,760052,85895,10751,95.9,103331,135880,10102450,103331,83.9,2979,473172.0,10603391,1.9,990403,710626,192,341577,97843,11061773,184.1,369809,4.1,51.9,317557,210892,114600,63391,-32.0,23983,127312,119974,39098,204952,97942,26217
2013,"Działalność związana z kulturą, rozrywką i rekreacją",54,11050975,512560,426925,221390,363570,127.7,346610,1301495,1021537,2.5,10626031,953144,57349,6070,96.7,84960,73378,9571613,84960,89.0,707,363569.0,10279421,1.0,1030997,807432,170,299673,148990,10687406,153.7,278610,3.3,48.1,209823,101274,116972,89271,1.0,26509,191023,125271,33630,212163,148315,27045
2014,"Działalność związana z kulturą, rozrywką i rekreacją",54,10082890,369143,304228,146742,214086,149.9,166407,1236949,1279426,1.5,9683904,822855,59893,10030,97.9,65880,95141,8862619,65880,88.1,1582,214090.0,9517497,0.0,966749,644909,192,321695,155057,9868800,180.9,148206,2.1,50.0,199899,-1570,125236,88185,-4.0,32324,172002,77291,44886,190917,156022,25415
2015,"Działalność związana z kulturą, rozrywką i rekreacją",51,10621900,468712,397302,143778,308419,173.0,134522,1420188,1517340,2.2,10270917,792574,42086,9352,97.1,71685,81146,9306393,71685,91.8,1202,308381.0,10136395,1.7,1154796,667624,192,295598,160293,10313519,201.0,236734,2.9,54.9,187244,171950,112641,133406,38.0,33733,168606,55385,44717,175358,160568,33431
2016,"Działalność związana z kulturą, rozrywką i rekreacją",50,11669460,618077,502267,152674,450729,157.7,181303,1629313,1780636,2.9,11339870,1070344,66740,12393,96.1,114995,100613,9932245,114995,92.2,2173,,11158567,3.0,1293387,819978,192,271659,167348,11218731,188.0,335734,3.9,48.0,248579,337281,111626,115529,,32255,194034,57931,47910,221322,166533,39437
2017,"Działalność związana z kulturą, rozrywką i rekreacją",60,14254900,792530,655140,88426,552052,190.7,226974,2078387,1660452,2.9,13853087,2120570,82552,13568,96.1,141297,91148,11396412,141297,90.9,1046,,13626113,2.4,1712030,897759,710,306973,240478,13702848,222.1,410755,3.9,41.7,281716,336105,111865,94718,,33269,238661,94840,48927,232538,244385,35714
2018,"Działalność związana z kulturą, rozrywką i rekreacją",54,15552564,748653,601946,145706,559927,159.9,232724,2252814,1226066,2.7,15255716,3226781,76827,14805,96.4,147131,92368,11611460,147131,92.3,17286,,15022992,2.7,1872315,1171102,76,254840,188726,14992637,182.8,412796,3.6,44.4,268924,417475,92569,62028,,40512,299629,42008,74080,335628,189150,37495
2019,"Działalność związana z kulturą, rozrywką i rekreacją",60,23277822,782436,627055,268813,586217,157.5,324211,2358664,1569901,1.9,22965427,4141342,89754,14110,97.5,151471,84011,18392912,151471,93.9,690,,22641216,1.9,1977438,1255881,3264,267817,196219,22691605,178.1,434746,2.5,46.7,259076,431173,87722,73340,,51064,322755,44578,71081,330358,192309,51069
2020,"Działalność związana z kulturą, rozrywką i rekreacją",65,26734809,550320,447571,666134,54708,113.1,138219,2397985,2157612,-0.2,26344845,4122382,102454,13783,99.8,96927,148656,22278894,96927,93.3,851,,26206626,-0.2,1937286,1713529,523,308315,495612,26680101,131.8,-42219,0.2,27.7,320991,-56431,88442,130169,,68804,347049,81649,84801,315208,489790,54907
2011,Transport i gospodarka magazynowa,912,88450539,4173398,3528423,1983174,2149201,52.6,7427762,25995317,22292138,1.7,83642083,6527700,9415128,477022,97.6,601346,2346726,75173503,601346,72.8,47605,2153344.0,76214321,2.3,10844963,20624616,4295,3543111,2024197,86297195,113.1,1547855,2.4,67.2,12491040,1940880,1437007,2249266,-4143.0,1024496,1885428,1265345,1625700,8901819,1980568,1033614
