rok,rodzaj,przedsiębiorstwa objęte badaniem,przychody z całokształtu działalności (przychody ogółem),zysk brutto,zysk netto,kredyty bankowe i pożyczki,wynik finansowy brutto,wskaźnik płynności finansowej I stopnia,przychody netto ze sprzedaży towarów i materiałów,aktywa obrotowe,zobowiązania długoterminowe,wskaźnik rentowności obrotu netto,"przychody netto ze sprzedaży produktów, towarów i materiałów",wartość sprzedanych towarów i materiałów,należności krótkoterminowe z tytułu dostaw i usług,zapasy - towary,wskaźnik poziomu kosztów,obowiązkowe obciążenia wyniku finansowego brutto - podatek dochodowy,pozostałe koszty operacyjne,koszt sprzedanych produktów,obowiązkowe obciążenia wyniku finansowego brutto,udział przychodów przedsiębiorstw wykazujących zysk netto w przychodach z całokształtu działalności,zapasy - półprodukty i produkty w toku,wynik finansowy na działalności gospodarczej,przychody netto ze sprzedaży produktów,wskaźnik rentowności sprzedaży brutto,inwestycje krótkoterminowe,zobowiązania krótkoterminowe,zapasy - produkty gotowe,pozostałe przychody operacyjne,strata brutto,koszty uzyskania przychodów z całokształtu działalności (koszty ogółem),wskaźnik płynności finansowej II stopnia,wynik finansowy netto,wskaźnik rentowności obrotu brutto,udział liczby przedsiębiorstw wykazujących zysk netto w ogólnej liczbie przedsiębiorstw,należności krótkoterminowe,"wynik finansowy ze sprzedaży produktów, towarów i materiałów",pozostałe przychody operacyjne - dotacje,koszty finansowe,wynik zdarzeń nadzwyczajnych,zapasy - materiały,"zobowiązania krótkoterminowe z tytułu podatków, ceł, ubezpieczeń i innych świadczeń",przychody finansowe,zapasy,zobowiązania krótkoterminowe z tytułu dostaw i usług,strata netto,krótkoterminowe rozliczenia międzyokresowe
2020,Działalność związana z obsługą rynku nieruchomości,470,25810439,2471959,2151270,1651690,1926483,105.0,302888,24719830,13617488,6.2,23636947,222288,3044735,1051951,92.5,306857,570562,22246894,326135,85.2,3743391,,23334059,4.9,11386774,10845701,506277,746446,545476,23883956,166.1,1600348,7.5,81.1,6629102,1167765,80973,844212,,60673,492337,1427046,5410973,3043355,550922,1292981
2011,Budownictwo,1795,121207567,5699151,4790040,5572486,3599384,40.4,3477458,61711315,8881928,2.3,117457273,3112460,21966125,2346235,97.0,828883,2054242,110133793,828883,80.9,7423904,3639964.0,113979815,3.6,15985550,39547679,1280337,2428830,2099767,117567603,104.6,2770501,3.0,76.6,25394096,4211020,122991,2267108,-40580.0,2209713,3249334,1321464,13721334,23034946,2019539,6610335
2012,Budownictwo,1773,112143899,5005063,4375006,6508094,-199167,39.7,3052080,58346935,8452895,-0.5,107797671,2675923,19595883,2071501,100.2,315318,2927963,104562499,315318,71.7,6783961,-200602.0,104745591,0.5,15551948,39161469,1828600,3054741,5204230,112344501,97.8,-514485,-0.2,72.6,22744772,559249,108933,2178116,1435.0,1907495,3098333,1291487,12967119,22053455,4889491,7083096
2013,Budownictwo,1575,95376486,4289087,3692762,5885770,1421846,45.4,2683238,55573520,10230457,0.9,91703573,2359924,18954704,1941408,98.5,608445,2033167,87930507,608445,82.4,6343412,1422736.0,89020335,1.5,15786310,34789480,1636786,2223954,2867241,93953750,107.4,813401,1.5,74.3,21570038,1413142,110737,1630152,-890.0,1755167,3123620,1448959,12095880,19903497,2879361,6121292
2014,Budownictwo,1413,101908765,4959739,4201352,5772213,3406074,45.4,2625291,55846302,9069280,2.7,98171403,2909211,19847316,1642359,96.7,654365,2486832,91678581,654365,85.3,5977906,3404427.0,95546112,3.7,16328812,35980699,1345427,2073372,1553665,98504338,108.9,2751709,3.3,80.3,22842344,3583611,99552,1429714,1647.0,1554264,2477661,1663990,10958961,19006850,1449643,5716185
2015,Budownictwo,1354,105919708,8990331,8156201,5345339,7774446,57.5,2328169,56488019,9689119,6.6,99350281,2681246,16943934,1510457,92.7,835611,1793082,92514084,835611,91.8,5870640,7712907.0,97022112,4.2,20270457,35259749,1171721,2280387,1215885,98206801,114.9,6938835,7.3,84.7,20254386,4154951,83091,1218389,61539.0,1431573,2459017,4289040,10859057,16972473,1217366,5104119
2016,Budownictwo,1315,94447054,6076833,5358533,3622956,4538847,54.6,2142587,56043568,9957475,4.1,89960316,2619468,17272145,1735330,95.2,652489,1589914,84530439,652489,82.7,7397508,,87817729,3.1,17903999,32794319,1408234,3004029,1537986,89908207,117.4,3886358,4.8,79.1,20585737,2810409,82318,1168386,,1643856,2156313,1482709,12508556,16345183,1472175,5045276
2017,Budownictwo,1233,102769736,5284546,4448518,3957462,3801522,46.4,2120604,61275294,7320853,2.8,100009265,2727991,19004047,1653934,96.3,918275,1731699,93664903,918275,84.0,7865005,,97888661,3.6,17449164,37583757,1333186,1878625,1483024,98968214,110.8,2883247,3.7,80.8,24198219,3616371,45321,843621,,2021795,2908861,881846,13429166,18126523,1565271,6198745
2018,Budownictwo,1224,117197355,6633217,5763459,5188655,5185222,40.9,2377812,63404206,7974237,3.7,114291053,2931579,20916089,1647510,95.6,884011,1616800,106586734,884011,79.0,8304202,,111913241,4.2,15694729,38345549,1127818,2018012,1447995,112012133,110.2,4301211,4.4,84.1,26545203,4772740,44296,877020,,2521772,3282439,888290,14193100,19340505,1462248,6971174
2019,Budownictwo,1202,121185722,7455236,6340608,5280730,5986778,44.0,2368714,68844833,7696690,4.0,117826458,2924929,23629575,1587184,95.1,1129274,1744637,109616072,1129274,86.4,9602107,,115457744,4.5,18701163,42543236,1093389,2328882,1468458,115198944,110.2,4857504,4.9,87.0,28195164,5285457,58043,913306,,2488311,2985530,1030382,15460692,20451448,1483104,6487814
2020,Budownictwo,1211,119187902,7909957,6713117,4288361,6627548,54.5,2522048,72647863,8502230,4.6,115717875,2081441,22596944,1643114,94.4,1190250,1881899,107424343,1190250,91.4,8054753,,113195827,5.4,22784629,41828831,1639970,2347335,1282409,112560354,122.2,5437298,5.6,84.3,28310065,6212091,208196,1172671,,3455336,2903515,1122692,15393069,18552776,1275819,6160100
2011,Ogółem,17346,2294301870,142390088,121126185,75359894,124886667,38.1,843523695,739064765,235702098,4.5,2208467421,716249265,271544354,69506141,94.6,20936342,33134489,1376126352,20936342,86.1,27777111,124817422.0,1364943726,5.3,191182099,501944956,33225958,39916522,17503421,2169484448,102.7,103950325,5.4,78.0,324391255,116091804,4971260,43974342,69245.0,64369626,40246815,45917927,197893888,274688727,17175860,25597523
2012,Ogółem,17594,2383226666,123534335,105437433,111129893,99371999,34.1,889333598,717571423,240892402,3.4,2299319073,756088974,264980339,71689028,95.8,17255059,42650896,1444115665,17255059,84.4,27691936,99358532.0,1409985475,4.3,170920500,501072903,38258152,44809936,24162336,2283868134,97.4,82116940,4.2,76.8,317338270,99114434,5640718,41012599,13467.0,63324955,37404437,39097657,203896214,264448323,23320493,25416439
2013,Ogółem,17239,2392594153,128048544,111047493,115319734,108113485,35.0,908902556,737915241,261819359,3.8,2312285797,765823478,268608640,74941831,95.5,15944854,34856841,1447109953,16006051,85.3,27905204,108109638.0,1403383241,4.3,183072471,523091829,38364843,45497014,19935059,2284484515,96.8,92107434,4.5,79.6,323286840,99352366,6032229,36694243,3847.0,62913672,39922792,34811342,207336856,270156821,18940059,24219074
2014,Ogółem,17022,2442964745,132352000,115546010,105713529,105685934,38.9,916013669,768733636,312885467,3.7,2359391117,768966859,275197842,77538550,95.7,15458428,35415661,1484961563,15527343,82.1,28334818,105539117.0,1443377448,4.5,201963694,519204088,37665924,42031273,26666066,2337425628,102.5,90158591,4.3,81.6,330359747,105462695,6341224,48081545,146817.0,62547968,39712326,41542355,212556381,269925817,25387419,23853814
2015,Ogółem,17194,2520937778,138473569,120485213,121041601,108215150,38.3,945918691,806896995,325829439,3.6,2444802181,790114772,283182854,82032658,95.7,16604037,35519860,1543999095,16674038,85.6,29543764,108177192.0,1498883490,4.5,212141196,554250687,37627215,41134142,30258419,2412760586,101.0,91541112,4.3,82.8,347473032,110688314,6282049,43126859,37958.0,66546710,42246659,35001455,223558609,277950921,28944101,23724158
2016,Ogółem,17481,2620280824,154837782,134397221,126896100,131417689,38.8,988920824,872218461,359827082,4.2,2537839249,820124249,309344138,91484760,95.0,20310187,39101218,1590579849,20354568,85.7,33829642,,1548918425,5.0,230952630,594891910,38161876,45729728,23420093,2488863135,102.0,111063121,5.0,81.5,375647805,127135151,7535030,39057819,,72392364,45210676,36711847,240292326,307990571,23334100,25325700
2017,Ogółem,17852,2865057611,168721363,145290122,132994609,150074030,38.4,1085735500,956153126,355090847,4.4,2771747618,893848082,341733059,100895449,94.8,23636760,40580469,1743154030,23678176,87.4,38893490,,1686012118,4.9,249750313,649548948,41303856,48855689,18647333,2714983581,102.2,126395854,5.2,80.9,414355824,134745506,10112470,37401000,,79604028,47815427,44454304,265097822,340529829,18894268,26949167
2018,Ogółem,17711,3057031871,162744569,137829094,148427477,137717572,36.2,1175735659,1015096243,362387678,3.7,2974308224,972929470,358380184,111575061,95.5,24999480,41459937,1863736274,25021252,85.9,41905830,,1798572565,4.6,253939577,700958252,45611735,44927929,25026997,2919314299,98.4,112696320,4.5,80.6,435886611,137642480,8929683,41188618,,91012314,49315986,37795718,295816578,354348005,25132774,29453477
2019,Ogółem,17739,3235515592,169652913,143625649,155226596,147310645,38.1,1250863011,1083662856,421162145,3.7,3152983879,1033831819,370600343,117444249,95.4,26091981,40838979,1975153359,26121884,87.6,44678163,,1902120868,4.6,284807572,747584544,49355686,45063831,22342268,3088204947,98.9,121188761,4.6,81.8,454184872,143998701,8492682,38380790,,95391928,51271388,37467882,313217086,375453136,22436888,31453326
2020,Ogółem,17690,3206898362,185198247,157625363,163687179,142538425,43.9,1238945839,1144847519,499674256,3.6,3107607718,1016376528,365175582,118370261,95.6,26269166,52607313,1942183958,26288444,80.0,45753095,,1868661879,4.8,336803087,767793703,48705660,62140910,42659822,3064359937,103.4,116249981,4.4,80.4,457094463,149047232,13932096,53192138,,99754860,55869411,37149734,319396253,375813258,41375382,31553716
2011,Opieka zdrowotna i pomoc społeczna,359,9183295,292975,251719,468792,-12996,33.1,162721,1885448,2300791,-0.5,8915253,109827,928200,13398,100.2,36088,109851,8648559,36088,56.8,815,-15049.0,8752532,1.8,619136,1871855,2562,227194,305971,9198344,91.3,-49084,-0.1,66.9,1089225,156867,52667,330107,2053.0,94797,177070,40848,115073,767561,300803,62014
2012,Opieka zdrowotna i pomoc społeczna,396,11053970,452862,393629,776684,265977,32.8,163780,2282365,2568060,1.9,10652066,121829,1199528,11448,97.6,55535,117070,10265362,55535,70.1,858,265973.0,10488286,2.5,719230,2194109,4235,248646,186885,10787997,94.0,210442,2.4,70.7,1343165,264875,59013,283736,4.0,117923,217280,153258,140065,885358,183187,79905
2013,Opieka zdrowotna i pomoc społeczna,440,12992661,614027,528237,691320,366261,48.2,211217,3004267,3716258,2.1,12548030,149257,1465832,15419,97.2,87943,216340,11964569,87943,70.0,1901,364281.0,12336813,3.5,1090353,2264086,2784,379887,247766,12628380,120.0,278318,2.8,70.5,1627375,434204,89472,298214,1980.0,148281,277656,64744,173724,918727,249919,112815
2014,Opieka zdrowotna i pomoc społeczna,466,15157601,645378,572059,706074,303321,38.5,190630,3357825,3909087,1.6,14584600,141143,1678790,21531,98.0,68305,251966,14174523,68305,58.8,1575,302529.0,14393970,1.8,1149702,2984591,3151,493660,342057,14855072,99.9,235016,2.0,62.4,1832732,268934,117134,287440,792.0,176342,338151,79341,209465,1291678,337043,165926
2015,Opieka zdrowotna i pomoc społeczna,470,16914471,736982,655297,594588,421136,50.5,231161,4053053,4947200,2.0,16381636,175967,1938445,22211,97.5,83925,237161,15804312,83925,59.9,1251,421187.0,16150475,2.5,1496040,2961097,2928,461409,315846,16493284,123.0,337211,2.5,66.8,2147329,401357,142825,275844,-51.0,204268,363414,71426,252947,1446452,318086,156737
2016,Opieka zdrowotna i pomoc społeczna,475,18647124,745102,643143,569223,267949,45.6,288075,4345042,5009357,0.9,17959704,210031,2186001,28256,98.6,100154,360628,17494089,100154,57.8,1549,,17671629,1.4,1489314,3263329,2989,579534,477153,18379175,118.0,167795,1.4,64.6,2362683,255584,177345,314427,,245278,400396,107886,278855,1724856,475348,214190
2017,Opieka zdrowotna i pomoc społeczna,487,20254476,773252,664389,703036,221480,52.8,274133,4804080,5224419,0.5,19549089,198886,2086445,35097,98.9,110483,284722,19188525,110483,61.7,1767,,19274956,0.8,1997202,3781319,3448,601317,551772,20032996,114.3,110997,1.1,65.3,2322958,161678,178595,360863,,263527,476372,104070,308035,1959207,553392,175885
2018,Opieka zdrowotna i pomoc społeczna,476,22176877,745760,615677,690290,94267,43.0,314813,4810743,4202491,-0.1,21369379,225956,2176969,31681,99.6,123887,263124,21310768,123887,56.2,1386,,21054566,-0.8,1772160,4125594,7210,704331,651493,22082610,103.4,-29620,0.4,62.2,2492913,-167345,263566,282762,,304762,554484,103167,348848,2110171,645297,196822
2019,Opieka zdrowotna i pomoc społeczna,488,24903065,830070,697271,695516,90362,43.3,283291,5396336,5203999,-0.2,24029001,212601,2226357,33540,99.6,127868,360336,23937015,127868,56.5,3203,,23745710,-0.5,1999168,4615709,8919,772476,739708,24812703,104.5,-37506,0.4,63.9,2825203,-120615,341124,302751,,320585,592427,101588,372347,2197370,734777,199618
2020,Opieka zdrowotna i pomoc społeczna,474,27440494,1398322,1172473,958894,714276,50.8,232604,6602129,5060974,1.8,26035802,172021,2709022,47517,97.4,219614,358796,25833399,219614,64.9,3199,,25803198,0.1,2754410,5417891,11808,1236406,684046,26726218,107.6,494662,2.6,59.9,3074624,30382,453421,362002,,518162,786220,168286,591144,2332063,677811,181951
2011,Edukacja,25,414941,22461,19118,16861,2042,20.6,14362,149310,26316,-0.7,362655,8782,54908,2166,99.5,5115,9234,376960,5115,78.0,54,2032.0,348293,-6.4,33886,164632,855,43832,20419,412909,68.3,-3073,0.5,68.0,78614,-23087,35413,17933,10.0,3655,9021,8454,7112,50747,22191,29698
2012,Edukacja,27,514913,40651,33729,46801,26174,51.7,15523,208608,52745,3.7,465797,7436,54097,4205,94.9,7018,11212,451495,7018,88.8,324,26174.0,450274,1.5,99410,192300,1817,39804,14477,488739,89.6,19156,5.1,77.8,72936,6866,24531,18596,0.0,3593,12748,9312,10296,58644,14573,25966
2013,Edukacja,48,891210,40182,31487,121732,23825,44.7,25626,274280,63054,1.7,579195,18719,68930,3596,97.3,8629,19293,812771,8629,45.8,396,23825.0,553569,-43.6,131085,293477,2600,296800,16357,867385,80.7,15196,2.7,64.6,105655,-252295,272370,16602,0.0,3080,18238,15215,10132,69468,16291,27408
2014,Edukacja,57,1059049,83064,72975,207895,73129,42.5,16643,361854,89425,5.9,720453,4877,113102,3673,93.1,10512,14678,943417,10512,78.2,8598,73325.0,703810,-31.6,151149,355835,2924,325946,9935,985724,82.4,62617,6.9,75.4,142033,-227841,305467,22752,-196.0,3129,29455,12650,19161,55916,10358,49511
2015,Edukacja,57,1074203,71401,63940,35255,12376,84.1,15593,381350,121172,0.5,750288,3960,76587,3351,98.8,6622,36758,982049,6622,40.0,830,12368.0,734695,-31.4,234006,278142,1885,286177,59025,1061835,125.9,5754,1.2,56.1,116070,-235721,272474,39068,8.0,1180,36421,37738,7809,84848,58186,23465
2016,Edukacja,51,1037134,72880,64300,42915,-13850,61.5,7455,247356,112802,-2.2,684369,3411,64685,1919,101.3,9458,118130,916393,9458,62.6,1656,,676914,-34.4,129895,211294,1043,335669,86730,1050984,101.8,-23308,-1.3,66.7,85208,-235435,277979,13050,,3038,32038,17096,9246,65088,87608,23007
2017,Edukacja,55,1129912,66742,57712,42946,16106,77.6,3601,254624,191633,0.6,830973,1989,71295,1474,98.6,9513,23158,1076396,9513,69.3,342,,827372,-29.8,123560,159321,1104,294312,50636,1113806,147.1,6593,1.4,78.2,110732,-247412,275659,12263,,665,25159,4627,4690,52241,51119,15642
2018,Edukacja,61,1368122,96086,84738,63354,70875,93.1,6084,394457,101407,4.3,965224,4293,103209,1626,94.8,12623,17006,1264346,12623,79.4,407,,959140,-31.4,210957,226708,1060,397183,25211,1297247,153.3,58252,5.2,73.8,136580,-303415,368346,11602,,500,39599,5715,7414,66248,26486,39506
2019,Edukacja,85,1701004,100382,86491,57505,81277,127.9,19386,501486,114948,3.9,1230334,17582,123899,3866,95.2,15164,54085,1534019,15164,88.6,1430,,1210948,-26.1,309648,242138,1231,461852,19105,1619727,191.6,66113,4.8,76.5,154177,-321267,420568,14041,,1419,41050,8818,9913,70870,20378,27748
2020,Edukacja,78,1312235,115729,99069,29317,104236,142.2,4616,452602,97884,6.7,796484,4485,78174,334,92.1,16687,28647,1169026,16687,88.7,1352,,791868,-47.3,247245,173851,1020,512233,11493,1207999,235.9,87549,7.9,82.1,162786,-377027,491506,5841,,438,47675,3518,18378,52163,11520,24193
2011,"Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle",3448,662350663,18105811,15194612,19692976,15046746,21.0,604682971,158194701,25513849,1.8,650285455,505310510,61755377,54089898,97.7,2937239,5598658,129646905,2937239,81.5,461437,15036678.0,45602484,2.4,26441804,125683088,782094,6876428,3059065,647313985,77.9,12109507,2.3,77.3,71516633,15328040,188484,6757912,10068.0,1754322,6921091,5188780,57986028,82571967,3085105,2250236
2012,"Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle",3465,695352836,16536624,13948382,26770178,12454829,21.7,635611604,159229187,24892251,1.4,683509107,533306790,60208437,56913329,98.2,2502582,5928056,136165306,2502582,79.3,457766,12440782.0,47897503,2.1,27544751,127094861,855250,6693523,4081795,682912054,75.9,9952247,1.8,74.5,68967014,14037011,191494,7511902,14047.0,1806102,6068227,5150206,60647758,83738759,3996135,2069664
2013,"Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle",3328,711497106,18601962,15884517,26347871,15211357,21.3,652072287,164354414,26062154,1.8,699431731,543046794,60740469,60795832,97.9,2672897,6026312,140810839,2672897,83.6,452195,15203886.0,47359444,2.2,28162729,132275759,945127,7327883,3390605,696293220,73.2,12538460,2.1,79.0,68616657,15574098,211334,6409275,7471.0,1833832,6845150,4737492,65032605,85592140,3346057,2542423
2014,"Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle",3226,727189443,20579654,17925451,24226999,15997055,22.9,668543062,169354304,29933495,1.9,716541095,552690945,59834016,62639633,97.8,2465170,6861469,145603096,2465170,86.0,475927,15969930.0,47998033,2.5,30225475,131795748,1056746,5707410,4582599,711219513,75.4,13531885,2.2,81.5,69127956,18247054,212813,6064003,27125.0,1820484,7093679,4940938,67452670,88081019,4393566,2548203
2015,"Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle",3233,752769844,22462292,19467610,29073421,17241969,23.9,692647431,180371245,31537876,1.9,741702790,571291642,63436288,66689227,97.7,2937121,6987691,151281535,2937121,84.6,531936,17249239.0,49055359,2.6,33391630,139806870,1228750,6430452,5220323,735520605,75.9,14304848,2.3,82.1,72715325,19129613,190230,5959737,-7270.0,1747274,7629519,4636602,71618296,90746021,5162762,2645994
2016,"Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle",3345,800093922,26709418,23107151,30376601,21879510,24.0,732375348,202580679,31983255,2.3,786569868,599655095,71910183,73897778,97.3,3751204,7387803,164925622,3751204,86.3,595159,,54194520,2.8,37197430,155157260,1259592,8131703,4829908,778214412,77.8,18128306,2.7,81.9,83487958,21989151,217912,6245892,,2132933,8538604,5392351,78762101,101479136,4978845,3133190
2017,"Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle",3407,876880695,27247612,22988055,28347490,23478565,25.6,808090192,229996102,33785746,2.2,865801705,659936462,80874215,82909053,97.3,4554575,7046609,180427919,4554575,85.2,688229,,57711513,2.9,43525179,170257205,1348311,6345072,3769047,853402130,81.2,18923990,2.7,82.4,94652368,25437324,240210,5991140,,2331105,9839991,4733918,88293066,113264872,4064065,3525489
2018,"Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle",3395,952720385,30375065,25266833,35417349,25466960,24.8,879223478,243285949,36644092,2.1,941472044,720684715,83121928,91916941,97.3,5191592,7452761,193334768,5191592,86.1,779167,,62248566,2.9,45815367,184630145,1423788,7021304,4908105,927253425,76.5,20275368,2.7,82.3,95386806,27452561,228060,5781181,,2875849,10721581,4227037,98245675,116711297,4991465,3838101
2019,"Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle",3398,1002830359,31926235,26537405,35563996,28081020,27.8,925084297,259004346,45263202,2.3,992429092,751266843,82903272,96671826,97.2,5426035,8095576,209900154,5426035,87.9,830953,,67344795,3.2,54134810,194564788,1488280,6594258,3845215,974749339,78.0,22654985,2.8,83.4,97653046,31262095,221369,5486766,,2995722,10859948,3807009,103190425,125063864,3882420,4026065
2020,"Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle",3369,1012957351,36866735,31003137,30503562,31558231,33.0,926644768,268488330,48470529,2.5,997588824,748958140,80238396,97548300,96.9,5992642,11442090,213704142,5992642,87.8,977158,,70944056,3.5,63079475,191197652,1745122,10220699,5308504,981399120,83.2,25565589,3.1,82.1,95993116,34926542,862296,7294748,,3441046,11944423,5147828,105335687,124889668,5437548,4080052
2011,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",263,181368513,22043745,18807020,2319722,21968816,71.6,78445094,57663041,19462807,10.3,168573775,71353406,16706042,1726276,87.9,3236131,4419429,81893028,3236131,99.3,56390,21965272.0,90128681,9.1,23618995,33001150,514194,3315236,74929,159403241,135.2,18732685,12.1,86.3,21003359,15327341,61304,1737378,3544.0,5731148,4659180,9479502,8111350,12110481,74335,4929337
2012,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",254,187930413,17094001,14301585,4548030,16878766,51.7,82004853,56449782,29274692,7.5,178911371,70857164,19460916,2001613,91.0,2766840,7594585,90041097,2766840,98.2,80949,16878673.0,96906518,10.1,18097885,34972755,795531,3728833,215235,171051740,118.8,14111926,9.0,87.0,23444888,18013110,88984,2558894,93.0,6843113,4305997,5290209,9746680,12823231,189659,5160329
2013,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",247,189608192,20700827,17754788,4200184,19432413,60.9,82997430,54406239,33576988,8.8,178218297,71410539,18289891,1476143,89.8,2756518,5891926,89723875,2756518,93.5,67872,19432367.0,95220867,9.6,20140718,33056029,1018910,3170470,1268414,170175825,125.5,16675895,10.2,88.7,21345549,17083883,114616,3149485,46.0,6695676,4477549,8219425,9313822,13383770,1078893,3606150
2014,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",245,191180827,23792486,20971184,2789640,23370066,68.0,73784772,59797575,46737041,10.7,170958997,66798839,18786974,1938330,87.8,2845544,4504110,87836222,2845544,97.8,55759,23370120.0,97174225,9.5,22878986,33658624,934793,3283958,422420,167810707,136.4,20524522,12.2,88.6,23040353,16323936,198099,8671536,-54.0,6701254,3765579,16937872,9895091,12636006,446662,3983145
2015,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",237,194746362,15400181,13277060,4629159,5711167,53.2,84909787,57844417,57424887,2.4,185470546,77275211,18929492,1935895,97.1,973936,4106366,99888270,973936,74.5,82838,5711166.0,100560759,4.5,19668389,36984235,924481,2342230,9689014,189035196,122.2,4737231,2.9,89.0,25508132,8307065,165098,7765349,1.0,5609777,3906644,6933586,9346042,12905285,8539829,3321854
2016,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",222,188452456,18086214,15633835,9702261,15474202,55.0,81664058,60313562,63344498,7.1,177528390,74262182,19692999,1725084,91.8,2120458,5159222,88076465,2120458,74.4,65083,,95864332,8.6,23225614,42191409,494309,3316154,2612012,172978254,115.9,13353744,8.2,90.5,25662273,15189743,233562,5480385,,4912579,4035921,7607912,7863667,12737799,2280091,3562008
2017,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",223,192657653,21211396,18717260,9121079,20072778,52.1,78976359,59120763,64404756,9.2,180282831,70656506,22480719,1541792,89.6,2322040,5253190,93272501,2322040,94.7,71826,,101306472,9.1,22325214,42821794,385820,2719356,1138618,172584875,115.2,17750738,10.4,90.1,27017187,16353824,263776,3402678,,5517157,3670242,9655466,7627342,15201342,966522,2151020
2018,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",220,200603374,15853961,13241509,13399765,12825789,44.4,83283391,68858708,62444359,5.3,186500164,76369902,24095153,2641689,93.6,2268595,5856157,97087604,2268595,81.0,67332,,103216773,7.0,25433283,57258927,615473,3454359,3028172,187777585,99.6,10557194,6.4,74.5,31603321,13042658,217000,8463922,,6997804,3390731,10648851,10468778,18093250,2684315,1353326
2019,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",220,227108949,14616469,12624119,16003602,12818098,46.1,103500969,77372511,73364308,4.8,211815301,98320887,24469920,2965301,94.4,1964287,5437264,101077430,1964287,81.9,79003,,108314332,5.9,28135111,61085578,551721,3405111,1798371,214290851,101.8,10853811,5.6,70.5,34071684,12416984,240504,9455270,,8961331,4236515,11888537,13219558,18109740,1770308,1946158
2020,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",210,234637136,21321405,17727018,15181879,16199585,62.7,112952019,83575839,75906401,5.4,222517230,107061778,24905571,3383144,93.1,3476597,6794798,95169343,3476597,66.4,82218,,109565211,9.1,35159996,56079083,553953,5732426,5121820,218437551,121.1,12722988,6.9,74.8,32741830,20286109,312181,9411632,,8611883,4580465,6387480,13128214,17272469,5004030,2545799
